epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.7435765862464905,0.0010000000474974513,0.4882751405239105,0.8986014127731323,0.728561282157898,0.8581730723381042,0.33042019605636597,0.9213483333587646,0.8661971688270569
1,0.8556012511253357,0.0010000000474974513,0.3162813186645508,0.9556451439857483,0.8398299217224121,0.8942307829856873,0.2913813292980194,0.9800000190734863,0.8626760840415955
2,0.8730729818344116,0.0010000000474974513,0.269377201795578,0.9553990364074707,0.8653437495231628,0.8846153616905212,0.3027961552143097,0.9916666746139526,0.8380281925201416
3,0.8967112302780151,0.0010000000474974513,0.2444142997264862,0.9661017060279846,0.8887314200401306,0.901442289352417,0.23930813372135162,0.969111979007721,0.8838028311729431
4,0.9008222222328186,0.0010000000474974513,0.2267543226480484,0.967024564743042,0.8936924338340759,0.9038461446762085,0.2548981308937073,0.9841269850730896,0.8732394576072693
5,0.9172661900520325,0.0010000000474974513,0.2146100550889969,0.9734848737716675,0.9107016324996948,0.9086538553237915,0.21912731230258942,0.9730769395828247,0.8908450603485107
6,0.9157245755195618,0.0010000000474974513,0.19615697860717773,0.9734244346618652,0.9085754752159119,0.901442289352417,0.20613445341587067,0.9550561904907227,0.8978873491287231
7,0.9188078045845032,0.0010000000474974513,0.19306614995002747,0.9808135032653809,0.9057406187057495,0.9158653616905212,0.1964615434408188,0.9527272582054138,0.922535240650177
8,0.9234327077865601,0.0010000000474974513,0.18340514600276947,0.972305417060852,0.9206236600875854,0.9086538553237915,0.20920872688293457,0.9730769395828247,0.8908450603485107
9,0.9295991659164429,0.0010000000474974513,0.1780867725610733,0.9789473414421082,0.9227498173713684,0.911057710647583,0.20608144998550415,0.9731800556182861,0.8943662047386169
