epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.5529291033744812,0.0010000000474974513,0.6895495057106018,0.7470319867134094,0.5797306895256042,0.6778846383094788,0.5910203456878662,0.6856435537338257,0.9753521084785461
1,0.5842754244804382,0.0010000000474974513,0.6581670045852661,0.7792207598686218,0.5953224897384644,0.723557710647583,0.6006916165351868,0.7327823638916016,0.9366196990013123
2,0.5966084003448486,0.0010000000474974513,0.6297371983528137,0.8015414476394653,0.5896527171134949,0.6346153616905212,0.5888711214065552,0.817307710647583,0.5985915660858154
3,0.5991777777671814,0.0010000000474974513,0.6263859272003174,0.7996201515197754,0.5967398881912231,0.713942289352417,0.5677193403244019,0.8185328245162964,0.7464788556098938
4,0.6495375037193298,0.0010000000474974513,0.6046853065490723,0.8263205289840698,0.6541460156440735,0.7067307829856873,0.54458087682724,0.7109375,0.9612675905227661
5,0.6438848972320557,0.0010000000474974513,0.61363285779953,0.809482753276825,0.6654854416847229,0.6466346383094788,0.573062002658844,0.8442211151123047,0.591549277305603
6,0.6418293714523315,0.0010000000474974513,0.5954195857048035,0.83302241563797,0.6328845024108887,0.629807710647583,0.5747471451759338,0.8494623899459839,0.5563380122184753
7,0.6408016681671143,0.00020000000949949026,0.5763697624206543,0.8595959544181824,0.603118360042572,0.7620192170143127,0.5378956198692322,0.7635327577590942,0.9436619877815247
8,0.6731757521629333,0.00020000000949949026,0.5718874931335449,0.8513146042823792,0.6654854416847229,0.7283653616905212,0.5312586426734924,0.7317073345184326,0.9507042169570923
9,0.6438848972320557,0.00020000000949949026,0.5759658217430115,0.8471953868865967,0.6208362579345703,0.7668269276618958,0.538008451461792,0.7758111953735352,0.9260563254356384
